train/reward,train/length,train/episode,train/env_step
-21.0,3056.0,1,23936
-21.0,3418.0,1,26832
-20.0,3573.0,1,28080
-21.0,3056.0,1,48384
-21.0,3408.0,1,52096
-21.0,3171.0,1,53440
-21.0,3408.0,1,55504
-19.0,4286.0,1,61616
-21.0,4480.0,1,62672
-21.0,3056.0,1,77888
-20.0,3835.0,1,79072
-21.0,3652.0,1,81312
-20.0,3485.0,1,83392
-20.0,3847.0,1,86752
-21.0,3300.0,1,88016
-20.0,3479.0,1,90512
-21.0,3520.0,1,106048
-19.0,3861.0,1,109488
-20.0,4011.0,1,111152
-21.0,3652.0,1,112608
-21.0,3412.0,1,117808
-18.0,4531.0,1,124256
-20.0,3591.0,1,134784
-21.0,3131.0,1,136208
-20.0,3479.0,1,137312
-20.0,3847.0,1,141936
-20.0,4155.0,1,145840
-21.0,3648.0,1,146992
-21.0,3296.0,1,150624
-21.0,3056.0,1,162528
-20.0,3857.0,1,168176
-21.0,3878.0,1,172960
-20.0,3482.0,1,174848
-21.0,3776.0,1,176048
-20.0,4184.0,1,184096
-21.0,3168.0,1,188848
-20.0,3367.0,1,195104
-20.0,3373.0,1,201824
-21.0,3408.0,1,203312
-21.0,3168.0,1,214272
-20.0,3374.0,1,216480
-20.0,4194.0,1,217648
-21.0,3408.0,1,222368
-20.0,3591.0,1,230560
-21.0,3536.0,1,232496
-20.0,3831.0,1,233968
-21.0,3056.0,1,238720
-21.0,3296.0,1,241584
-21.0,3481.0,1,244320
-20.0,3485.0,1,245536
-21.0,3296.0,1,248736
-21.0,3408.0,1,257824
-21.0,3296.0,1,258864
-20.0,3489.0,1,261872
-20.0,3853.0,1,272416
-21.0,4376.0,1,273728
-20.0,3793.0,1,275872
-20.0,4027.0,1,280960
-21.0,3416.0,1,285152
-21.0,3168.0,1,287216
-20.0,3367.0,1,299344
-20.0,3607.0,1,302576
-20.0,3479.0,1,303712
-21.0,3056.0,1,305408
-20.0,3663.0,1,314448
-20.0,3968.0,1,317040
-21.0,3056.0,1,324416
-20.0,3599.0,1,328144
-21.0,3540.0,1,330896
-20.0,3547.0,1,332080
-20.0,3800.0,1,335808
-21.0,3056.0,1,341488
-20.0,3959.0,1,346128
-21.0,3168.0,1,353488
-20.0,3995.0,1,356368
-21.0,3780.0,1,362320
-21.0,3540.0,1,364128
-21.0,3528.0,1,369712
-19.0,3864.0,1,372608
-21.0,3484.0,1,384240
-21.0,3764.0,1,392432
-21.0,3056.0,1,394160
-20.0,3367.0,1,399552
-21.0,3304.0,1,410672
-21.0,3371.0,1,412144
-20.0,4027.0,1,417328
-21.0,3168.0,1,419504
-21.0,3648.0,1,421616
-21.0,3296.0,1,425920
-20.0,4035.0,1,432352
-21.0,3168.0,1,436016
-21.0,3296.0,1,438512
-20.5,3563.5,2,447408
-20.0,3853.0,1,450320
-19.0,4059.0,1,454096
-20.0,3479.0,1,460176
-21.0,3648.0,1,465200
-20.0,3723.0,1,468304
-21.0,3056.0,1,471856
-20.0,3485.0,1,475296
-20.0,3367.0,1,477264
-21.0,3056.0,1,484624
-21.0,4683.0,1,488720
-21.0,3648.0,1,497488
-19.0,4388.0,1,500304
-21.0,3287.0,1,501584
-19.0,3908.0,1,503120
-21.0,3168.0,1,510240
-19.0,3752.0,1,514640
-20.0,3559.0,1,517200
-21.0,3648.0,1,526672
-20.0,3441.0,1,527840
-20.0,3578.0,1,530208
-20.0,3482.0,1,538096
-19.0,3988.0,1,546544
-21.0,3240.0,1,553488
-20.0,3367.0,1,554768
-21.0,3652.0,1,555888
-20.0,3793.0,1,558416
-21.0,3296.0,1,564464
-21.0,3168.0,1,572576
-21.0,3056.0,1,580336
-21.0,3168.0,1,583936
-20.0,3911.0,1,586064
-21.0,4128.0,1,591440
-20.0,4090.0,1,597184
-20.0,3373.0,1,599552
-20.0,3615.0,1,609248
-20.0,3443.0,1,611472
-21.0,3416.0,1,613392
-20.0,4211.0,1,625136
-21.0,3523.0,1,627744
-21.0,4216.0,1,633968
-21.0,3300.0,1,635648
-20.0,3614.0,1,642304
-20.0,4345.0,1,644240
-21.0,3056.0,1,652192
-21.0,3544.0,1,653488
-19.0,3746.0,1,658368
-20.0,3481.0,1,661824
-20.0,3591.0,1,664384
-20.0,3485.0,1,670176
-20.0,3962.0,1,674272
-19.0,3921.0,1,675616
-21.0,3536.0,1,681776
-20.0,3924.0,1,683584
-21.0,3300.0,1,688224
-20.0,3729.0,1,694208
-21.0,3304.0,1,696608
-21.0,3168.0,1,700960
-20.0,3367.0,1,708704
-19.0,4452.0,1,709888
-19.0,4064.0,1,716256
-21.0,3768.0,1,718368
-20.0,3367.0,1,721152
-18.0,4125.0,1,729616
-21.0,3168.0,1,734048
-20.0,3435.0,1,737376
-21.0,3648.0,1,740064
-21.0,3168.0,1,743712
-20.0,3700.0,1,745856
-20.0,3926.0,1,752560
-20.0,3831.0,1,760256
-20.0,3370.0,1,764336
-21.0,3056.0,1,770304
-17.0,5212.0,1,772272
-21.0,4000.0,1,775712
-18.0,4866.0,1,778992
-21.0,3056.0,1,784704
-21.0,3280.0,1,787232
-21.0,3536.0,1,798592
-20.0,4954.0,1,803968
-21.0,3527.0,1,807712
-21.0,3752.0,1,809008
-21.0,3408.0,1,811968
-20.0,3719.0,1,816976
-21.0,3296.0,1,825776
-20.0,3677.0,1,833376
-21.0,3296.0,1,836000
-21.0,3296.0,1,838336
-20.0,3909.0,1,840272
-21.0,3296.0,1,843344
-21.0,3296.0,1,852144
-20.0,3479.0,1,854304
-21.0,3520.0,1,861536
-20.0,3486.0,1,864048
-21.0,3536.0,1,866624
-21.0,3168.0,1,868688
-20.0,3469.0,1,879888
-18.0,4237.0,1,888192
-21.0,3408.0,1,891312
-21.0,3372.0,1,893600
-20.0,3674.0,1,898080
-20.0,4274.0,1,903248
-19.0,3868.0,1,910832
-21.0,3408.0,1,915456
-20.0,3725.0,1,918576
-19.0,3867.0,1,919744
-21.0,3408.0,1,920864
-20.0,3633.0,1,927152
-20.0,3367.0,1,937776
-21.0,3168.0,1,945088
-21.0,3296.0,1,947232
-20.0,3613.0,1,956048
-21.0,3764.0,1,967888
-19.0,4044.0,1,970576
-21.0,3056.0,1,971680
-21.0,3536.0,1,976064
-21.0,3875.0,1,978464
-21.0,3168.0,1,981392
-21.0,3416.0,1,983408
-21.0,3174.0,1,993280
-21.0,3056.0,1,995024
-21.0,3280.0,1,998880
-20.0,3683.0,1,1001152
-21.0,3280.0,1,1002304
-21.0,3056.0,1,1005840
-20.0,3833.0,1,1009120
-20.0,3719.0,1,1013152
-20.0,3371.0,1,1020240
-21.0,3296.0,1,1021392
-21.0,3296.0,1,1025248
-21.0,3632.0,1,1031360
-21.0,3296.0,1,1035488
-21.0,3875.0,1,1036848
-21.0,3497.0,1,1041136
-21.0,3408.0,1,1047504
-21.0,3056.0,1,1049696
-19.0,3903.0,1,1052608
-19.0,4283.0,1,1059856
-21.0,3296.0,1,1061856
-21.0,4082.0,1,1064016
-20.0,3607.0,1,1065696
-21.0,3168.0,1,1072848
-21.0,3296.0,1,1076064
-20.0,3482.0,1,1080464
-20.0,3374.0,1,1088848
-21.0,3280.0,1,1090256
-20.0,4140.0,1,1092976
-21.0,3171.0,1,1098448
-19.0,4565.0,1,1102224
-20.0,3965.0,1,1107776
-19.0,3989.0,1,1112384
-21.0,3168.0,1,1114192
-21.0,3056.0,1,1117424
-21.0,3648.0,1,1119440
-21.0,3056.0,1,1122896
-21.0,3648.0,1,1131408
-21.0,3408.0,1,1139648
-21.0,3056.0,1,1141872
-21.0,3056.0,1,1147344
-20.0,3795.0,1,1149792
-19.0,3678.0,1,1160832
-21.0,3168.0,1,1165904
-21.0,3536.0,1,1168288
-21.0,3168.0,1,1173456
-20.0,3370.0,1,1176752
-20.0,3959.0,1,1179024
-20.0,3367.0,1,1187760
-21.0,3360.0,1,1193200
-21.0,3491.0,1,1194544
-20.0,3709.0,1,1195584
-21.0,4012.0,1,1200384
-21.0,3723.0,1,1203248
-21.0,3548.0,1,1207408
-21.0,3768.0,1,1217904
-21.0,3536.0,1,1221488
-20.0,3367.0,1,1222512
-19.0,3680.0,1,1223984
-21.0,3056.0,1,1231856
-20.0,3672.0,1,1233264
-19.0,4340.0,1,1235104
-17.0,4480.0,1,1253744
-19.0,4060.0,1,1254992
-21.0,3168.0,1,1257824
-21.0,3371.0,1,1260240
-21.0,3398.0,1,1262288
-20.0,4013.0,1,1263952
-21.0,3131.0,1,1278992
-21.0,3168.0,1,1283424
-21.0,3056.0,1,1284688
-21.0,3296.0,1,1288656
-21.0,3296.0,1,1290320
-21.0,3056.0,1,1307872
-19.0,3792.0,1,1309776
-21.0,3280.0,1,1310928
-21.0,3402.0,1,1311968
-19.0,3749.0,1,1320320
-21.0,4093.0,1,1321392
-20.0,3564.0,1,1336384
-21.0,3414.0,1,1339616
-21.0,3720.0,1,1341728
-20.0,4279.0,1,1344016
-21.0,3650.0,1,1349520
-19.0,3992.0,1,1353328
-21.0,3408.0,1,1363648
-21.0,3168.0,1,1364960
-21.0,3371.0,1,1369024
-21.0,3540.0,1,1370048
-21.0,3408.0,1,1371280
-21.0,3648.0,1,1378704
-21.0,3357.0,1,1380192
-21.0,3131.0,1,1388768
-21.0,3528.0,1,1391872
-21.0,3296.0,1,1396416
-21.0,3648.0,1,1400464
-20.0,3798.0,1,1409088
-19.0,4114.0,1,1413104
-21.0,4128.0,1,1421792
-20.0,3915.0,1,1423184
-21.0,3408.0,1,1424576
-21.0,3408.0,1,1427728
-21.0,3760.0,1,1439168
-21.0,3056.0,1,1446704
-20.0,3677.0,1,1451216
-21.0,3744.0,1,1453136
-18.0,4537.0,1,1460192
-21.0,3056.0,1,1463920
-21.0,3280.0,1,1465408
-21.0,3408.0,1,1473968
-21.0,3174.0,1,1476608
-20.0,3663.0,1,1481136
-20.0,3677.0,1,1482560
-21.0,3296.0,1,1486560
-19.0,4785.0,1,1490448
-21.0,3296.0,1,1491776
-21.0,3888.0,1,1505072
-21.0,3536.0,1,1514848
-18.0,4967.0,1,1516336
-21.0,3408.0,1,1520032
-20.0,3847.0,1,1521232
-21.0,4132.0,1,1538640
-21.0,3056.0,1,1539952
-20.0,4637.0,1,1542160
-21.0,3412.0,1,1543632
-20.0,3849.0,1,1545648
-20.0,3351.0,1,1548032
-20.0,3847.0,1,1550816
-20.0,4383.0,1,1552176
-21.0,3056.0,1,1563088
-20.0,3370.0,1,1566912
-20.0,3831.0,1,1572816
-21.0,3524.0,1,1573840
-20.0,4183.0,1,1577104
-20.0,3487.0,1,1578704
-20.0,3842.0,1,1582912
-21.0,3056.0,1,1587536
-21.0,3056.0,1,1591360
-21.0,3408.0,1,1600080
-20.0,3607.0,1,1603264
-20.0,3830.0,1,1604480
-21.0,3648.0,1,1612096
-20.0,3367.0,1,1614480
-21.0,3131.0,1,1616400
-21.0,3544.0,1,1631616
-21.0,3837.0,1,1635168
-20.0,3917.0,1,1636416
-19.0,4095.0,1,1638144
-20.0,3719.0,1,1644224
-21.0,3412.0,1,1658912
-20.0,3719.0,1,1662256
-20.0,3607.0,1,1664032
-21.0,3056.0,1,1668672
-20.0,3574.0,1,1673152
-21.0,3408.0,1,1686176
-21.0,3056.0,1,1688480
-20.0,3607.0,1,1691104
-20.0,3479.0,1,1692352
-20.0,3959.0,1,1695920
-20.0,3836.0,1,1699360
-20.0,3727.0,1,1715984
-20.0,3590.0,1,1717200
-21.0,3408.0,1,1718368
-21.0,3171.0,1,1721280
-20.0,4190.0,1,1722768
-20.0,4199.0,1,1725936
-20.0,3484.0,1,1727392
-21.0,3168.0,1,1741328
-20.0,3607.0,1,1746048
-20.0,3838.0,1,1749072
-21.0,3056.0,1,1751840
-20.0,3367.0,1,1753440
-19.0,5162.0,1,1764064
-21.0,3056.0,1,1770496
-21.0,4024.0,1,1773520
-20.0,3367.0,1,1778784
-21.0,3408.0,1,1780704
-21.0,3536.0,1,1792352
-20.0,3373.0,1,1797488
-20.0,3371.0,1,1800496
-20.0,3963.0,1,1810480
-21.0,4077.0,1,1811488
-19.0,4402.0,1,1815920
-20.0,3370.0,1,1819312
-21.0,3056.0,1,1824944
-21.0,4008.0,1,1829552
-20.0,3796.0,1,1831824
-21.0,3420.0,1,1838848
-20.0,3789.0,1,1842688
-21.0,4231.0,1,1844336
-20.0,3843.0,1,1850048
-18.0,4548.0,1,1852304
-20.0,3710.0,1,1854624
-20.0,3729.0,1,1861648
-21.0,3392.0,1,1865984
-20.0,3367.0,1,1869632
-21.0,3597.0,1,1873104
-20.0,3486.0,1,1880192
-21.0,3371.0,1,1888624
-21.0,3767.0,1,1896112
-20.0,3722.0,1,1899408
-21.0,3056.0,1,1904864
-20.0,4077.0,1,1912800
-20.0,3367.0,1,1916000
-21.0,3296.0,1,1922480
-21.0,3056.0,1,1923856
-21.0,3128.0,1,1925392
-16.0,4754.0,1,1926656
-21.0,3296.0,1,1931232
-21.0,3056.0,1,1940448
-20.0,3719.0,1,1942560
-21.0,3168.0,1,1949200
-20.0,3485.0,1,1950368
-21.0,3172.0,1,1952032
-19.0,4034.0,1,1963504
-21.0,3056.0,1,1964896
-21.0,3056.0,1,1967008
-21.0,3323.0,1,1970064
-21.0,3056.0,1,1974288
-21.0,3296.0,1,1976736
-21.0,3056.0,1,1987952
-21.0,3056.0,1,1989344
-21.0,3056.0,1,1994512
-21.0,3408.0,1,2001808
-20.0,4055.0,1,2006736
-19.0,4272.0,1,2010912
-21.0,3056.0,1,2012400
-20.0,3367.0,1,2016272
-20.0,3367.0,1,2021456
-19.0,3754.0,1,2025360
-21.0,3408.0,1,2029088
-21.0,3520.0,1,2034896
-19.0,3986.0,1,2044288
-21.0,3168.0,1,2046800
-17.0,4736.0,1,2048800
-20.0,4017.0,1,2057488
-21.0,3296.0,1,2061264
-19.0,4400.0,1,2064288
-21.0,3296.0,1,2075168
-20.0,4093.0,1,2077024
-18.0,4227.0,1,2078288
-20.0,3685.0,1,2086976
-21.0,3056.0,1,2088736
-20.0,3795.0,1,2091776
-20.0,3962.0,1,2092960
-19.0,3686.0,1,2104656
-20.0,4129.0,1,2110784
-19.0,4338.0,1,2112992
-20.0,3607.0,1,2117584
-20.0,3367.0,1,2118704
-19.0,4098.0,1,2119760
-20.0,3597.0,1,2121728
-21.0,3296.0,1,2131024
-21.0,3168.0,1,2136128
-20.0,3591.0,1,2141728
-20.0,4689.0,1,2142736
-21.0,3168.0,1,2144048
-21.0,3168.0,1,2147072
-20.0,3831.0,1,2150400
-21.0,3131.0,1,2156064
-21.0,3296.0,1,2162496
-20.0,3479.0,1,2169552
-21.0,3536.0,1,2175360
-18.0,4456.0,1,2178384
-21.0,3875.0,1,2181408
-20.0,3370.0,1,2183024
-21.0,3056.0,1,2186944
-21.0,3408.0,1,2196816
-21.0,3373.0,1,2203216
-21.0,3056.0,1,2205856
-20.0,3350.0,1,2208800
-21.0,3056.0,1,2211392
-20.0,3367.0,1,2223760
-21.0,3056.0,1,2230304
-21.0,3412.0,1,2236096
-21.0,3173.0,1,2237328
-19.0,4470.0,1,2238976
-20.0,3799.0,1,2242064
-20.0,3847.0,1,2254528
-20.0,4026.0,1,2262512
-20.0,3662.0,1,2265840
-19.0,3750.0,1,2267328
-18.0,4418.0,1,2277408
-19.0,4162.0,1,2287824
-20.0,3367.0,1,2289440
-20.0,3667.5,2,2294832
-20.0,3923.0,1,2308800
-21.0,3296.0,1,2315808
-20.0,3482.0,1,2317696
-21.0,3056.0,2,2319280
-20.0,4172.0,1,2321200
-20.0,3618.0,1,2324240
-20.0,3967.0,1,2326896
-21.0,3296.0,1,2335168
-20.0,3557.0,1,2344272
-20.0,3598.0,1,2346480
-20.0,3533.0,1,2347536
-21.0,3056.0,1,2351344
-20.0,3609.0,1,2353104
-17.0,4512.0,1,2371264
-20.0,3675.0,1,2373664
-21.0,3597.0,1,2376320
-16.0,4921.0,1,2392480
-21.0,3168.0,1,2399648
-21.0,3168.0,1,2401840
-21.0,3296.0,1,2403120
-21.0,3648.0,1,2405600
-20.0,3836.0,1,2407008
-21.0,3286.0,1,2425936
-21.0,3056.0,1,2427568
-17.0,4619.0,1,2429424
-21.0,3168.0,1,2430944
-21.0,3168.0,1,2452160
-21.0,3611.0,1,2455648
-21.0,3652.0,1,2456784
-21.0,3648.0,1,2460128
-20.0,3719.0,1,2461200
-20.0,3481.0,1,2480000
-21.0,3056.0,1,2481648
-21.0,3520.0,1,2484560
-20.0,3787.0,1,2485936
-19.0,3790.0,1,2487104
-18.0,4586.0,1,2492480
-21.0,3056.0,1,2504448
-21.0,3520.0,1,2509808
-21.0,3296.0,1,2512304
-21.0,3280.0,1,2513840
-21.0,3528.0,1,2515616
-21.0,3392.0,1,2519616
-20.0,3666.0,1,2533776
-21.0,3128.0,1,2534928
-21.0,3296.0,1,2536176
-21.0,3168.0,1,2538400
-21.0,3412.0,1,2539600
-21.0,3520.0,1,2542000
-21.0,3648.0,1,2548800
-20.0,3479.0,1,2561616
-20.0,3666.0,1,2565504
-19.0,3683.0,1,2567872
-20.0,3607.0,1,2570864
-20.0,4155.0,1,2582048
-21.0,3527.0,1,2589824
-21.0,3371.0,1,2593056
-20.0,3614.0,1,2594880
-19.0,3800.0,1,2598272
-18.0,4225.0,1,2600240
-19.0,4354.0,1,2605696
-20.0,3722.0,1,2611824
-21.0,3056.0,1,2614400
-20.0,3479.0,1,2620896
-19.0,4034.0,1,2622096
-21.0,3853.0,1,2625712
-20.0,3373.0,1,2627216
-20.0,3843.0,1,2629008
-20.0,3373.0,1,2632672
-21.0,3056.0,1,2636272
-21.0,3056.0,1,2638848
-21.0,3056.0,1,2645344
-20.0,3607.0,1,2650960
-21.0,3280.0,1,2655248
-20.0,3853.0,1,2656528
-18.0,4239.0,1,2661136
-19.0,3682.0,1,2665728
-19.0,3933.0,1,2670304
-21.0,3280.0,1,2671584
-21.0,3056.0,1,2675408
-20.0,3547.0,1,2684912
-20.0,3610.0,1,2686000
-21.0,3520.0,1,2689296
-21.0,3168.0,1,2691072
-21.0,3056.0,1,2694752
-21.0,3408.0,1,2698848
-21.0,3371.0,1,2702368
-21.0,3280.0,1,2711152
-20.0,3479.0,1,2713840
-21.0,3296.0,1,2717440
-21.0,3765.0,1,2719408
-20.0,3479.0,1,2726672
-21.0,3296.0,1,2728736
-20.0,4620.0,1,2731712
-21.0,3244.0,1,2739792
-20.0,3793.0,1,2741488
-20.0,3479.0,1,2747248
-21.0,3636.0,1,2748912
-21.0,4204.0,1,2751072
-21.0,3304.0,1,2755168
-20.0,3607.0,1,2760576
-21.0,3168.0,1,2766832
-17.0,4485.0,1,2775664
-20.0,3479.0,1,2776736
-21.0,3536.0,1,2779360
-19.0,4298.0,1,2781632
-21.0,3416.0,1,2783408
-20.0,4030.0,1,2787408
-20.0,3706.0,1,2790224
-21.0,3296.0,1,2793200
-21.0,3296.0,1,2802032
-21.0,3304.0,1,2803168
-21.0,3168.0,1,2804704
-21.0,3300.0,1,2808032
-21.0,3280.0,1,2809648
-19.0,3758.0,1,2817472
-20.0,3568.0,1,2821744
-21.0,3056.0,1,2826480
-21.0,3653.0,1,2832400
-20.0,3665.0,1,2834016
-21.0,3056.0,1,2841920
-21.0,3296.0,1,2848112
-21.0,3411.0,1,2853776
-19.0,4221.0,1,2856144
-21.0,3168.0,1,2857744
-21.0,3300.0,1,2860416
-21.0,3056.0,1,2866368
-20.0,3819.0,1,2878672
-21.0,3296.0,1,2882512
-18.0,4064.0,1,2886288
-21.0,3408.0,1,2887680
-20.0,3974.0,1,2889536
-21.0,3056.0,1,2890816
-20.0,3485.0,1,2895136
-20.0,3612.0,1,2907568
-21.0,3296.0,1,2909360
-21.0,3540.0,1,2910832
-20.0,3482.0,1,2914144
-21.0,3540.0,1,2917856
-20.0,3838.0,1,2921520
-21.0,4008.0,1,2927200
-21.0,3168.0,1,2932912
-20.0,3597.0,1,2938128
-21.0,3128.0,1,2939168
-21.0,3056.0,1,2945968
-19.0,4522.0,1,2947008
-21.0,3280.0,1,2953440
-21.0,3056.0,1,2963616
-21.0,3368.0,1,2965072
-19.0,4172.0,1,2966288
-20.0,3719.0,1,2968816
-21.0,3296.0,1,2973376
-19.0,3801.0,1,2976384
-19.0,4037.0,1,2985728
-19.0,4343.0,1,2988720
-21.0,3168.0,1,2990416
-21.0,3056.0,1,2993264
-21.0,3168.0,1,2998720
-18.0,4232.0,1,3000144
-21.0,3168.0,1,3001728
-21.0,3056.0,1,3014864
-20.0,3945.0,1,3017296
-19.0,3829.0,1,3021504
-21.0,3168.0,1,3027072
-20.0,3679.0,1,3029568
-20.0,4164.0,1,3032032
-21.0,3056.0,1,3039312
-21.0,3296.0,1,3043664
-19.0,4063.0,1,3047584
-19.0,3989.0,1,3050208
-20.0,3607.0,1,3055920
-21.0,3414.0,1,3070976
-21.0,3056.0,1,3072032
-19.0,4465.0,1,3075040
-19.0,3683.0,1,3077280
-21.0,3056.0,1,3080384
-20.0,4033.0,1,3082464
-21.0,3394.0,1,3083632
-20.0,3837.0,1,3086624
-21.0,3056.0,1,3095424
-21.0,3056.0,1,3096480
-21.0,3411.0,1,3102320
-20.0,3371.0,1,3109440
-20.0,3945.0,1,3111952
-20.0,3603.0,1,3115440
-21.0,3408.0,1,3123744
-19.0,4226.0,1,3129232
-21.0,3776.0,1,3132832
-20.0,3610.0,1,3138320
-21.0,3523.0,1,3140864
-21.0,3768.0,1,3142096
-21.0,3487.0,1,3143344
-21.0,3168.0,1,3149088
-21.0,3296.0,1,3155600
-20.0,3463.0,1,3157344
-20.0,3855.0,1,3174176
-20.0,4145.0,1,3175248
-19.0,4476.0,1,3176672
-21.0,3536.0,1,3183888
-20.0,3610.0,1,3187056
-21.0,3372.0,1,3201152
-19.0,3686.0,1,3204736
-19.0,3790.0,1,3207760
-21.0,3168.0,1,3210000
-19.0,3988.0,1,3218960
-20.0,3482.0,1,3229552
-20.0,3680.0,1,3230592
-20.0,3373.0,1,3231728
-20.0,3463.0,1,3235472
-19.0,4485.0,1,3241312
-21.0,4020.0,1,3243008
-20.0,3775.0,1,3249152
-20.0,3367.0,1,3256496
-20.0,3726.0,1,3261536
-21.0,3172.0,1,3266688
-18.0,4650.0,1,3272672
-20.0,3987.0,1,3274896
-21.0,3411.0,1,3276448
