train/reward,train/length,train/episode,train/env_step
-21.0,3056.0,1,29920
-21.0,3168.0,1,31040
-21.0,3284.0,1,32200
-21.0,3408.0,2,33440
-20.0,3685.0,1,36210
-19.0,3940.0,1,38760
-20.0,4149.0,1,40850
-19.0,4258.0,1,41940
-20.0,3907.0,1,68990
-20.0,3977.0,1,70810
-20.0,3853.0,1,71970
-21.0,3304.0,1,73890
-19.0,3779.0,1,79730
-18.0,4428.0,1,83040
-21.0,3056.0,1,101370
-21.0,3536.0,1,104870
-20.0,3725.0,1,106420
-21.0,3596.0,1,109850
-19.0,4300.0,1,114970
-21.0,3776.0,1,120800
-21.0,3280.0,1,138030
-21.0,3412.0,1,144910
-20.0,3668.0,1,146530
-20.0,3839.0,1,148920
-21.0,3483.0,1,150320
-19.0,3863.0,1,153600
-21.0,3536.0,1,156160
-20.0,3367.0,1,171700
-21.0,3565.0,1,174190
-21.0,3175.0,1,177200
-21.0,3056.0,1,180880
-20.0,3732.0,1,183850
-20.0,3599.0,1,190210
-21.0,3764.0,1,191240
-19.0,4345.0,1,199610
-21.0,3171.0,1,208910
-20.0,3966.0,1,211360
-20.0,3966.0,1,213850
-21.0,3056.0,1,220770
-21.0,3056.0,1,221800
-21.0,3408.0,1,225220
-20.0,4159.0,1,241200
-20.0,3367.0,1,242580
-21.0,3056.0,1,244410
-21.0,3296.0,1,247370
-21.0,3776.0,1,249120
-21.0,3056.0,1,252370
-21.0,3296.0,1,255370
-20.0,3677.0,1,257540
-21.0,3487.0,1,277450
-21.0,3998.0,1,281180
-21.0,3411.0,1,283230
-21.0,3408.0,1,286450
-21.0,3168.0,1,289220
-20.0,3613.0,1,291500
-21.0,3168.0,1,312860
-21.0,3408.0,1,317310
-20.0,3847.0,1,319920
-20.0,3373.0,1,322950
-19.0,3777.0,1,324220
-21.0,3727.0,1,329320
-19.0,4112.0,1,331120
-21.0,3056.0,1,347970
-20.0,3607.0,1,353380
-21.0,3056.0,1,354780
-21.0,3304.0,1,355990
-19.0,4534.0,1,358200
-21.0,3242.0,1,361740
-21.0,3483.0,1,365950
-21.0,3056.0,1,385340
-21.0,3408.0,1,387460
-20.0,3607.0,1,389660
-20.0,3479.0,1,390780
-20.0,3607.0,1,392920
-20.0,3787.0,1,396070
-19.0,4276.0,1,408710
-21.0,3536.0,1,420700
-20.0,3367.0,1,424450
-20.0,3373.0,1,426650
-21.0,4021.0,1,427890
-20.0,4091.0,1,430570
-20.0,3560.0,1,431670
-18.0,4441.0,1,435220
-19.0,3962.0,1,448330
